,name,ADRESSE,CODE_POSTA,COMMUNE,arrondissement
17,commissariat,19/21 rue Truffaut,75017,Paris,17
19,commissariat central 1er,45 place du Marché Saint Honoré,75001,Paris,1
20,commissariat central 2e,18 rue du Croissant,75002,Paris,2
21,commissariat central  3e,4 bis - 6 rue aux Ours,75003,Paris,3
22,commissariat central  4e,27 boulevard Bourdon,75004,Paris,4
23,"commissariat central des 5e-6e, saip et bdep",4 rue de la Montagne Sainte Geneviève,75005,Paris,5
25,commissariat central 5e et 6e,"4, rue de la Montagne Sainte-Geneviève",75006,Paris,6
27,commissariat central 7e,9 rue Fabert,75007,Paris,7
29,commissariat central 8e,1 avenue du Général Eisenhower,75008,Paris,8
32,commissariat central 9e,14 bis rue Chauchat,75009,Paris,9
35,commissariat central du 10e,26 rue Louis Blanc,75010,Paris,10
39,commissariat central 11e,12 passage Charles Dallery,75011,Paris,11
42,commissariat central 12e,80 avenue Daumesnil,75012,Paris,12
44,commissariat central du 13e,144 boulevard de l Hôpital,75013,Paris,13
46,"commissariat central 14e, saip et bdep montparnasse-plaisance",112-116 Avenue du Maine,75014,Paris,14
49,commissariat central  15e,250 rue de Vaugirard,75015,Paris,15
52,commissariat central 16e,"2, rue Serge Prokofiev",75016,Paris,16
54,commissariat central 17e,19-21 rue Truffaut,75017,Paris,17
56,commissariat central 18e,79-81 rue de Clignancourt,75018,Paris,18
59,commissariat central 19e,5 rue Erik Satie,75019,Paris,19
61,commissariat central 20e,3-7 rue des Gâtines,75020,Paris,20
