,Code Postal,Adresse,Ville,Horaires,Jour,Organisation,arrondissement
0,75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Lundi,Mairie de Paris,5
1,75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Mardi,Mairie de Paris,5
2,75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Mercredi,Mairie de Paris,5
3,75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Jeudi,Mairie de Paris,5
4,75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Vendredi,Mairie de Paris,5
5,75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Samedi,Mairie de Paris,5
6,75010,135 boulevard de la Villette,Paris,16h45,Lundi,Une Chorba pour Tous,10
7,75010,135 boulevard de la Villette,Paris,16h45,Mardi,Une Chorba pour Tous,10
8,75010,135 boulevard de la Villette,Paris,16h45,Mercredi,Une Chorba pour Tous,10
9,75010,135 boulevard de la Villette,Paris,16h45,Jeudi,Une Chorba pour Tous,10
10,75010,135 boulevard de la Villette,Paris,16h45,Vendredi,Une Chorba pour Tous,10
11,75010,135 boulevard de la Villette,Paris,16h45,Samedi,Une Chorba pour Tous,10
12,75013,15 rue Jean Antoine de Baïf,Paris,19h30 - 21h00,Lundi,ESS’Pace,13
13,75010,70 rue du Faubourg Saint-Martin,Paris,16h00 - 17h45,Mardi,Wanted Café,10
14,75018,24 avenue de la Porte de Montmartre,Paris,18h30 - 20h00,Mardi,Maison Bleue,18
15,75020,80 rue des Haies,Paris,18h30 - 20h00,Jeudi,Smartfood,20
16,75018,124 rue des Poissonniers,Paris,18h30 - 21h00,Mardi,Les Restos du Cœur,18
17,75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Lundi,Les Restos du Cœur,13
18,75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Mardi,Les Restos du Cœur,13
19,75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Mercredi,Les Restos du Cœur,13
20,75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Jeudi,Les Restos du Cœur,13
21,75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Vendredi,Les Restos du Cœur,13
22,75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Lundi,La Mie de Pain,14
23,75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Mardi,La Mie de Pain,14
24,75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Mercredi,La Mie de Pain,14
25,75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Jeudi,La Mie de Pain,14
26,75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Vendredi,La Mie de Pain,14
27,75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Samedi,La Mie de Pain,14
28,75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Dimanche,La Mie de Pain,14
29,75018,70 boulevard Barbès,Paris,Non précisé,Non précisé,Armée du Salut,18
30,75018,38 rue Charles Hermite,Paris,13h00 - 15h30,Lundi,Paris Tout P’tits,18
31,75018,38 rue Charles Hermite,Paris,13h00 - 15h30,Mardi,Paris Tout P’tits,18
32,75018,38 rue Charles Hermite,Paris,13h00 - 15h30,Mercredi,Paris Tout P’tits,18
33,75018,38 rue Charles Hermite,Paris,12h30 - 15h30,Jeudi,Paris Tout P’tits,18
34,75018,38 rue Charles Hermite,Paris,12h30 - 15h30,Vendredi,Paris Tout P’tits,18
35,75014,Didot,Paris,10h00 - 12h30,Vendredi,Paris Tout P’tits,14
36,75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Lundi,Mairie de Paris,20
37,75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Mardi,Mairie de Paris,20
38,75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Mercredi,Mairie de Paris,20
39,75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Jeudi,Mairie de Paris,20
40,75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Vendredi,Mairie de Paris,20
41,75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Lundi,Mairie de Paris,20
42,75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Mardi,Mairie de Paris,20
43,75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Mercredi,Mairie de Paris,20
44,75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Jeudi,Mairie de Paris,20
45,75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Vendredi,Mairie de Paris,20
46,75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Samedi,Mairie de Paris,20
