texte,sujet
"Je suis blessé, j’ai besoin d’un centre médical rapidement.",santé
Je cherche un centre de santé à Paris où je pourrais consulter rapidement. Vous avez une adresse ?,santé
"J’ai des pensées suicidaires, je suis à avenue Maréchal dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue Barre ? Je me suis fait mal.,santé
Je me suis blessé et je saigne. Où aller à Paris ? C’est urgent.,santé
Je cherche un endroit avec des douches publiques dans Paris. Vous avez une adresse et les heures d’ouverture ?,douche
Je suis au bout du rouleau. Est-ce que quelqu’un peut m’aider rapidement ?,inconnu
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Alexandrie Lopez ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Alex Lagarde.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Marchand ? J’ai besoin de me laver rapidement.",douche
"Je me sens mal, j’ai besoin de voir un docteur. Où puis-je aller à Paris ?",santé
"Je ne vais pas bien du tout, je pense à des choses graves. J’ai besoin d’aide.",inconnu
"Salut, vous savez où je peux prendre une douche gratuite à Paris ? J’aurais besoin des horaires aussi.",douche
Je dois aller dans un commissariat à Paris. Vous avez les horaires et le numéro ?,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Robin.",maraude
Y a-t-il un hôpital ou un médecin proche de rue de Pinto ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de chemin Langlois ? Je me suis fait mal.,santé
Où puis-je rencontrer une maraude ce soir à Paris ?,maraude
"Besoin de soins médicaux, c’est urgent. Où aller à Paris et comment prendre rendez-vous ?",santé
"J’ai des pensées suicidaires, je suis à chemin de Morel dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue de Blin dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à avenue Delmas dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue Thomas Lenoir dans Paris. Je veux parler à quelqu’un.",santé
"Je veux signaler un problème, il me faut l’adresse d’un commissariat à Paris.",judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Françoise Parent.",maraude
Il y a une maraude ce soir vers chemin Noémi Descamps ? Je cherche un endroit pour manger ou discuter.,maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue de Girard.",maraude
Quel est le commissariat le plus proche de rue Constance Bazin ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue Fournier ? Je me suis fait mal.,santé
"J’ai des pensées suicidaires, je suis à boulevard Monique Duhamel dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de avenue de Costa ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de boulevard de Lefebvre ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à avenue Guillaume dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de avenue Tristan Vincent ? J’ai besoin d’aide légale.,judiciaire
Il y a une maraude ce soir vers rue de Baudry ? Je cherche un endroit pour manger ou discuter.,maraude
Il y a une maraude ce soir vers rue de Rocher ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de chemin Théophile Ferreira ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue Inès Pereira ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à rue Barbier dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à chemin de Didier dans Paris. Je veux parler à quelqu’un.",santé
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Bodin ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Simone Moreno.",maraude
Il y a une maraude ce soir vers boulevard de Carpentier ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de rue Margot Boucher ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Joséphine Roussel.",maraude
Il y a une maraude ce soir vers rue Henri Garcia ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de chemin de Grondin ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de chemin de Bernier ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de chemin Honoré Sauvage ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers rue de Leroy ? Je cherche un endroit pour manger ou discuter.,maraude
Quel est le commissariat le plus proche de boulevard Salmon ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de chemin Collin ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Alain Rousseau ? J’ai besoin de me laver rapidement.",douche
"J’ai des pensées suicidaires, je suis à chemin Maurice Bernier dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue Denise Mace dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Leclercq.",maraude
"Bonjour, est-ce qu’il y a des douches accessibles près de rue de Lambert ? J’ai besoin de me laver rapidement.",douche
"Bonjour, est-ce qu’il y a des douches accessibles près de rue Ollivier ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue Chevallier.",maraude
"J’ai des pensées suicidaires, je suis à chemin Texier dans Paris. Je veux parler à quelqu’un.",santé
"J’ai des pensées suicidaires, je suis à rue Normand dans Paris. Je veux parler à quelqu’un.",santé
Quel est le commissariat le plus proche de rue Pires ? J’ai besoin d’aide légale.,judiciaire
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Arnaude Gros.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de avenue de Lopez.",maraude
"J’ai des pensées suicidaires, je suis à avenue de Rocher dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Noémi Devaux.",maraude
Quel est le commissariat le plus proche de avenue Alexandre ? J’ai besoin d’aide légale.,judiciaire
"Bonjour, est-ce qu’il y a des douches accessibles près de boulevard Alexandre Schneider ? J’ai besoin de me laver rapidement.",douche
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard Delannoy.",maraude
"Je cherche les horaires d’une maraude dans Paris, si possible près de chemin Anaïs Ledoux.",maraude
"J’ai des pensées suicidaires, je suis à boulevard de Gillet dans Paris. Je veux parler à quelqu’un.",santé
Y a-t-il un hôpital ou un médecin proche de rue Wagner ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de chemin Michel Mendès ? J’ai besoin d’aide légale.,judiciaire
Quel est le commissariat le plus proche de chemin de Marchal ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de chemin de De Oliveira ? Je me suis fait mal.,santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de rue Camille Étienne.",maraude
Y a-t-il un hôpital ou un médecin proche de boulevard de Duval ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de chemin Renée Humbert ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue de Guillot ? J’ai besoin d’aide légale.,judiciaire
"J’ai des pensées suicidaires, je suis à boulevard Matthieu Lefebvre dans Paris. Je veux parler à quelqu’un.",santé
"Je cherche les horaires d’une maraude dans Paris, si possible près de boulevard de Ferreira.",maraude
Y a-t-il un hôpital ou un médecin proche de avenue de Baron ? Je me suis fait mal.,santé
Quel est le commissariat le plus proche de rue Bernard ? J’ai besoin d’aide légale.,judiciaire
Y a-t-il un hôpital ou un médecin proche de rue de Fernandez ? Je me suis fait mal.,santé
Il y a une maraude ce soir vers boulevard Leblanc ? Je cherche un endroit pour manger ou discuter.,maraude
Y a-t-il un hôpital ou un médecin proche de rue de Ramos ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de boulevard Ledoux ? Je me suis fait mal.,santé
Y a-t-il un hôpital ou un médecin proche de rue Menard ? Je me suis fait mal.,santé
