Code Postal,Adresse,Ville,Horaires,Jour,Organisation
75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Lundi,Mairie de Paris
75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Mardi,Mairie de Paris
75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Mercredi,Mairie de Paris
75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Jeudi,Mairie de Paris
75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Vendredi,Mairie de Paris
75005,15 rue de la Parcheminerie,Paris,17h15 - 19h15,Samedi,Mairie de Paris
75010,135 boulevard de la Villette,Paris,16h45,Lundi,Une Chorba pour Tous
75010,135 boulevard de la Villette,Paris,16h45,Mardi,Une Chorba pour Tous
75010,135 boulevard de la Villette,Paris,16h45,Mercredi,Une Chorba pour Tous
75010,135 boulevard de la Villette,Paris,16h45,Jeudi,Une Chorba pour Tous
75010,135 boulevard de la Villette,Paris,16h45,Vendredi,Une Chorba pour Tous
75010,135 boulevard de la Villette,Paris,16h45,Samedi,Une Chorba pour Tous
75013,15 rue Jean Antoine de Baïf,Paris,19h30 - 21h00,Lundi,ESS’Pace
75010,70 rue du Faubourg Saint-Martin,Paris,16h00 - 17h45,Mardi,Wanted Café
75018,24 avenue de la Porte de Montmartre,Paris,18h30 - 20h00,Mardi,Maison Bleue
75020,80 rue des Haies,Paris,18h30 - 20h00,Jeudi,Smartfood
75018,124 rue des Poissonniers,Paris,18h30 - 21h00,Mardi,Les Restos du Cœur
75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Lundi,Les Restos du Cœur
75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Mardi,Les Restos du Cœur
75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Mercredi,Les Restos du Cœur
75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Jeudi,Les Restos du Cœur
75013,6 avenue Joseph-Bédier,Paris,11h00 - 13h00,Vendredi,Les Restos du Cœur
75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Lundi,La Mie de Pain
75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Mardi,La Mie de Pain
75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Mercredi,La Mie de Pain
75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Jeudi,La Mie de Pain
75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Vendredi,La Mie de Pain
75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Samedi,La Mie de Pain
75014,22 rue Charles-Fourier,Paris,18h00 - 20h00,Dimanche,La Mie de Pain
75018,70 boulevard Barbès,Paris,Non précisé,Non précisé,Armée du Salut
75018,38 rue Charles Hermite,Paris,13h00 - 15h30,Lundi,Paris Tout P’tits
75018,38 rue Charles Hermite,Paris,13h00 - 15h30,Mardi,Paris Tout P’tits
75018,38 rue Charles Hermite,Paris,13h00 - 15h30,Mercredi,Paris Tout P’tits
75018,38 rue Charles Hermite,Paris,12h30 - 15h30,Jeudi,Paris Tout P’tits
75018,38 rue Charles Hermite,Paris,12h30 - 15h30,Vendredi,Paris Tout P’tits
75014,Didot,Paris,10h00 - 12h30,Vendredi,Paris Tout P’tits
75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Lundi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Mardi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Mercredi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Jeudi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,12h00 - 13h30,Vendredi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Lundi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Mardi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Mercredi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Jeudi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Vendredi,Mairie de Paris
75020,11-15 rue de Pali-Kao,Paris,17h15 - 19h15,Samedi,Mairie de Paris
